group_ID,ecosystem,scoped,package_name,version,artifact_id,total_file,package_size,api_calls,function,threat_type
aiohttp_proxies_0.8.36_tar-gz,pypi,,aiohttp_proxies,0.8.36,tar-gz,13,2530.893555,['random.choice'],rand,malicious
evergreen-lint_0.1.4_py3-none-any-whl,pypi,,evergreen-lint,0.1.4,py3-none-any-whl,17,48.56933594,NaN,NaN,benign
flake8-commas_2.1.0_tar-gz,pypi,,flake8-commas,2.1.0,tar-gz,16,45.22851563,NaN,NaN,benign
flake8-commas_2.1.0_py2-py3-none-any-whl,pypi,,flake8-commas,2.1.0,py2-py3-none-any-whl,8,20.47167969,NaN,NaN,benign
aiohttp_proxies_0.8.37_tar-gz,pypi,,aiohttp_proxies,0.8.37,tar-gz,13,2530.923828,['random.choice'],rand,malicious
gower_0.1.2_py3-none-any-whl,pypi,,gower,0.1.2,py3-none-any-whl,7,9.87890625,NaN,NaN,benign
gower_0.1.2_tar-gz,pypi,,gower,0.1.2,tar-gz,14,18.25683594,NaN,NaN,benign
mdurl_0.1.2_py3-none-any-whl,pypi,,mdurl,0.1.2,py3-none-any-whl,11,22.76171875,NaN,NaN,benign
aiohttp_proxies_0.8.39_tar-gz,pypi,,aiohttp_proxies,0.8.39,tar-gz,13,1125.591797,['random.choice'],rand,malicious
mdurl_0.1.2_tar-gz,pypi,,mdurl,0.1.2,tar-gz,11,25.11132813,NaN,NaN,benign
json-fix_0.5.2_py3-none-any-whl,pypi,,json-fix,0.5.2,py3-none-any-whl,5,6.328125,NaN,NaN,benign
json-fix_0.5.2_tar-gz,pypi,,json-fix,0.5.2,tar-gz,8,9.120117188,NaN,NaN,benign
aiohttp_proxies_0.8.40_tar-gz,pypi,,aiohttp_proxies,0.8.40,tar-gz,13,1125.634766,['random.choice'],rand,malicious
colored_2.2.3_py3-none-any-whl,pypi,,colored,2.2.3,py3-none-any-whl,14,46.02050781,NaN,NaN,benign
colored_2.2.3_tar-gz,pypi,,colored,2.2.3,tar-gz,14,48.62109375,NaN,NaN,benign
protobuf3-to-dict_0.1.5_tar-gz,pypi,,protobuf3-to-dict,0.1.5,tar-gz,10,12.09179688,NaN,NaN,benign
